"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 09 14:36:55 GMT 2024","Thu May 09 14:36:55 GMT 2024","0","chromium","MarkDoneToDo.spec.ts","Auth","","","should allow user to mark like done a chosen ToDo",""
"passed","Thu May 09 14:36:53 GMT 2024","Thu May 09 14:36:55 GMT 2024","1427","chromium","LogoutTest.spec.ts","Auth","","","should allow user to logout",""
"passed","Thu May 09 14:36:52 GMT 2024","Thu May 09 14:36:53 GMT 2024","1387","chromium","LoginTest.spec.ts","Auth","","","should allow user to login",""
"skipped","Thu May 09 14:36:56 GMT 2024","Thu May 09 14:36:56 GMT 2024","0","chromium","UnmarkAllToDoLikeDone.spec.ts","Auth","","","should allow user to unmark like done a chosen ToDo",""
"passed","Thu May 09 14:36:55 GMT 2024","Thu May 09 14:36:56 GMT 2024","1449","chromium","RegistrationTest.spec.ts","Auth","","","should allow user to registration",""
"passed","Thu May 09 14:36:50 GMT 2024","Thu May 09 14:36:52 GMT 2024","2203","chromium","CreateToDoTest.spec.ts","Auth","","","should allow user to create a new ToDo",""
"skipped","Thu May 09 14:36:52 GMT 2024","Thu May 09 14:36:52 GMT 2024","1","chromium","DeleteAllToDo.spec.ts","Auth","","","should allow user to delete a all ToDos",""
"skipped","Thu May 09 14:36:56 GMT 2024","Thu May 09 14:36:56 GMT 2024","1","chromium","UnmarkToDoLikeDone.spec.ts","Auth","","","should allow user to unmark like done a chosen ToDo",""
"skipped","Thu May 09 14:36:52 GMT 2024","Thu May 09 14:36:52 GMT 2024","0","chromium","DeleteToDo.spec.ts","Auth","","","should allow user to delete a chosen ToDo",""
"skipped","Thu May 09 14:36:55 GMT 2024","Thu May 09 14:36:55 GMT 2024","1","chromium","MarkAllToDo.spec.ts","Auth","","","should allow user to mark like done all ToDos",""
